GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
02013020105,80,4,特選級或精選級肉牛切割之去骨牛腩、牛腱之絞肉，生鮮或冷藏,KGM,1,
02013020908,80,4,其他特選級或精選級肉牛切割之去骨牛腩、牛腱，生鮮或冷藏,KGM,1,
02013090,80,3,其他去骨牛肉，生鮮或冷藏,,0,
02013090100,80,4,其他去骨牛肉排（胸側肉、背脊肉、腰內肉、腰脊肉、上腿肉），生鮮或冷藏,KGM,1,
02013090208,80,4,其他去骨牛腩、牛腱，生鮮或冷藏,KGM,1,
02013090306,80,4,其他去骨牛肉之絞肉，生鮮或冷藏,KGM,1,
02013090903,80,4,其他去骨牛肉，生鮮或冷藏,KGM,1,
0202,80,1,冷凍牛肉,,0,
020210,80,2,屠體及半片屠體,,0,
02021010,80,3,特殊品級冷凍屠體及半片屠體牛肉,,0,
02021010002,80,4,特殊品級冷凍屠體及半片屠體牛肉,KGM,1,
02021090,80,3,其他冷凍屠體及半片屠體牛肉,,0,
02021090005,80,4,其他冷凍屠體及半片屠體牛肉,KGM,1,
020220,80,2,其他帶骨切割肉,,0,
02022010,80,3,特殊品級冷凍帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）,,0,
02022010000,80,4,特殊品級冷凍帶骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）,KGM,1,
02022020,80,3,特選級或精選級肉牛切割之冷凍帶骨牛腩、牛腱,,0,
02022020008,80,4,特選級或精選級肉牛切割之冷凍帶骨牛腩、牛腱,KGM,1,
02022090,80,3,其他冷凍帶骨切割牛肉,,0,
02022090101,80,4,其他冷凍帶骨切割牛肉排（胸側肉、背脊肉、腰脊肉、上腿肉）,KGM,1,
02022090209,80,4,其他冷凍帶骨牛腩、牛腱,KGM,1,
02022090904,80,4,其他冷凍帶骨切割牛肉,KGM,1,
020230,80,2,去骨者,,0,
02023010,80,3,特殊品級冷凍去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）,,0,
02023010106,80,4,特殊品級冷凍去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）之絞肉,KGM,1,
02023010909,80,4,其他特殊品級冷凍去骨四分之一屠體牛肉及切割肉排（胸側肉、背脊肉、腰脊肉、上腿肉）,KGM,1,
02023020,80,3,特選級或精選級肉牛切割之冷凍去骨牛腩、牛腱,,0,
02023020104,80,4,特選級或精選級肉牛切割之冷凍去骨牛腩、牛腱之絞肉,KGM,1,
02023020907,80,4,其他特選級或精選級肉牛切割之冷凍去骨牛腩、牛腱,KGM,1,
02023090,80,3,其他冷凍去骨牛肉,,0,
02023090109,80,4,其他冷凍去骨牛肉排（胸側肉、背脊肉、腰內肉、腰脊肉、上腿肉）,KGM,1,
02023090207,80,4,其他冷凍去骨牛腩、牛腱,KGM,1,
02023090305,80,4,其他冷凍去骨牛肉之絞肉,KGM,1,
02023090902,80,4,其他冷凍去骨牛肉,KGM,1,
0203,80,1,豬肉，生鮮、冷藏或冷凍,,0,
02031,80,2,－生鮮或冷藏︰,,0,
020311,80,3,屠體及半片屠體,,0,
02031100,80,4,屠體及半片屠體豬肉，生鮮或冷藏,,0,
02031100100,80,5,帶頭、皮、耳、尾及腳（不含內臟），重量不超過８公斤之整隻屠體豬肉，生鮮或冷藏,KGM,1,
02031100903,80,5,其他屠體及半片屠體豬肉，生鮮或冷藏,KGM,1,
020312,80,3,帶骨之腿肉、肩肉及其切割肉,,0,
02031200,80,4,帶骨之豬腿肉、肩肉及其切割肉，生鮮或冷藏,,0,
02031200001,80,5,帶骨之豬腿肉、肩肉及其切割肉，生鮮或冷藏,KGM,1,
020319,80,3,其他,,0,
02031911,80,4,去骨豬腹脇肉（包括腩排），生鮮或冷藏,,0,
02031911001,80,5,去骨豬腹脇肉（包括腩排），生鮮或冷藏,KGM,1,
02031919,80,4,其他去骨豬肉，生鮮或冷藏,,0,
02031919003,80,5,其他去骨豬肉，生鮮或冷藏,KGM,1,
02031991,80,4,帶骨豬腹脇肉（包括腩排），生鮮或冷藏,,0,
02031991004,80,5,帶骨豬腹脇肉（包括腩排），生鮮或冷藏,KGM,1,
02031999,80,4,其他帶骨豬肉，生鮮或冷藏,,0,
02031999006,80,5,其他帶骨豬肉，生鮮或冷藏,KGM,1,
02032,80,2,－冷凍︰,,0,
020321,80,3,屠體及半片屠體,,0,
02032100,80,4,冷凍屠體及半片屠體豬肉,,0,
02032100108,80,5,帶頭、皮、耳、尾及腳（不含內臟），重量不超過８公斤之整隻屠體豬肉，冷凍,KGM,1,
02032100901,80,5,其他冷凍屠體及半片屠體豬肉,KGM,1,
020322,80,3,帶骨之腿肉、肩肉及其切割肉,,0,
02032200,80,4,冷凍帶骨之豬腿肉、肩肉及其切割肉,,0,
02032200009,80,5,冷凍帶骨之豬腿肉、肩肉及其切割肉,KGM,1,
020329,80,3,其他,,0,
02032911,80,4,冷凍去骨豬腹脇肉（包括腩排）,,0,
02032911009,80,5,冷凍去骨豬腹脇肉（包括腩排）,KGM,1,
02032919,80,4,其他冷凍去骨豬肉,,0,
02032919109,80,5,冷凍去骨之豬後腿肉、肩胛肉、腰內肉、大里脊及其切割肉,KGM,1,
02032919902,80,5,其他冷凍去骨豬肉,KGM,1,
02032991,80,4,冷凍帶骨豬腹脇肉（包括腩排）,,0,
02032991002,80,5,冷凍帶骨豬腹脇肉（包括腩排）,KGM,1,
02032999,80,4,其他冷凍帶骨豬肉,,0,
02032999004,80,5,其他冷凍帶骨豬肉,KGM,1,
0204,80,1,綿羊或山羊肉，生鮮、冷藏或冷凍,,0,
020410,80,2,屠體及半片屠體小羊肉，生鮮或冷藏,,0,
02041000,80,3,屠體及半片屠體小羊肉，生鮮或冷藏,,0,
02041000002,80,4,屠體及半片屠體小羊肉，生鮮或冷藏,KGM,1,
02042,80,2,－綿羊肉，生鮮或冷藏︰,,0,
020421,80,3,屠體及半片屠體,,0,
02042100,80,4,屠體及半片屠體綿羊肉，生鮮或冷藏,,0,
02042100009,80,5,屠體及半片屠體綿羊肉，生鮮或冷藏,KGM,1,
020422,80,3,其他帶骨切割肉,,0,
02042200,80,4,其他帶骨切割綿羊肉，生鮮或冷藏,,0,
02042200008,80,5,其他帶骨切割綿羊肉，生鮮或冷藏,KGM,1,
020423,80,3,去骨者,,0,
02042300,80,4,去骨綿羊肉，生鮮或冷藏,,0,
02042300007,80,5,去骨綿羊肉，生鮮或冷藏,KGM,1,
020430,80,2,冷凍屠體及半片屠體小羊肉,,0,
02043000,80,3,冷凍屠體及半片屠體小羊肉,,0,
02043000008,80,4,冷凍屠體及半片屠體小羊肉,KGM,1,
02044,80,2,－冷凍綿羊肉︰,,0,
020441,80,3,屠體及半片屠體,,0,
02044100,80,4,冷凍屠體及半片屠體綿羊肉,,0,
02044100005,80,5,冷凍屠體及半片屠體綿羊肉,KGM,1,
020442,80,3,其他帶骨切割肉,,0,
02044200,80,4,其他冷凍帶骨切割綿羊肉,,0,
02044200004,80,5,其他冷凍帶骨切割綿羊肉,KGM,1,
020443,80,3,去骨者,,0,
02044300,80,4,冷凍去骨綿羊肉,,0,
02044300003,80,5,冷凍去骨綿羊肉,KGM,1,
020450,80,2,山羊肉,,0,
02045000,80,3,山羊肉，生鮮、冷藏或冷凍,,0,
02045000101,80,4,山羊肉，生鮮或冷藏,KGM,1,
02045000209,80,4,山羊肉，冷凍,KGM,1,
0205,80,1,肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍,,0,
020500,80,2,肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍,,0,
02050000,80,3,肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍,,0,
02050000003,80,4,肉類（馬、騾、驢及駃騠），生鮮、冷藏或冷凍,KGM,1,
0206,80,1,食用雜碎（牛、豬、綿羊、山羊、馬、騾、驢或駃騠），生鮮、冷藏或冷凍,,0,
020610,80,2,牛雜碎，生鮮或冷藏,,0,
02061010,80,3,牛肉骨，生鮮或冷藏,,0,
02061010008,80,4,牛肉骨，生鮮或冷藏,KGM,1,
02061090,80,3,其他食用牛雜碎，生鮮或冷藏,,0,
02061090118,80,4,食用牛舌，生鮮或冷藏,KGM,1,
02061090127,80,4,食用牛唇，生鮮或冷藏,KGM,1,
02061090136,80,4,食用牛耳，生鮮或冷藏,KGM,1,
02061090207,80,4,食用牛肝，生鮮或冷藏,KGM,1,
02061090305,80,4,食用牛眼，生鮮或冷藏,KGM,1,
02061090403,80,4,食用牛腦、脊髓及頭顱，生鮮或冷藏,KGM,1,
02061090500,80,4,食用牛心及肺，生鮮或冷藏,KGM,1,
02061090608,80,4,食用牛腎及脾臟，生鮮或冷藏,KGM,1,
02061090706,80,4,食用牛鞭、睪丸及尾，生鮮或冷藏,KGM,1,
02061090813,80,4,食用牛橫膈膜，生鮮或冷藏,KGM,1,
02061090822,80,4,食用牛背板筋，生鮮或冷藏,KGM,1,
02061090831,80,4,食用牛腹膈膜，生鮮或冷藏,KGM,1,
02061090911,80,4,食用牛胰臟及子宮，生鮮或冷藏,KGM,1,
02061090993,80,4,其他食用牛雜碎，生鮮或冷藏,KGM,1,
02062,80,2,－冷凍牛雜碎︰,,0,
020621,80,3,舌,,0,
02062100,80,4,冷凍牛舌,,0,
02062100007,80,5,冷凍牛舌,KGM,1,
020622,80,3,肝,,0,
02062200,80,4,冷凍牛肝,,0,
02062200006,80,5,冷凍牛肝,KGM,1,
020629,80,3,其他,,0,
02062910,80,4,冷凍牛肉骨,,0,
02062910007,80,5,冷凍牛肉骨,KGM,1,
02062990,80,4,其他冷凍食用牛雜碎,,0,
02062990108,80,5,冷凍食用牛眼,KGM,1,
02062990206,80,5,冷凍食用牛腦、脊髓及頭顱,KGM,1,
02062990304,80,5,冷凍食用牛心及肺,KGM,1,
02062990402,80,5,冷凍食用牛腎及脾臟,KGM,1,
02062990509,80,5,冷凍食用牛鞭、睪丸及尾,KGM,1,
02062990616,80,5,冷凍食用牛橫膈膜,KGM,1,
02062990625,80,5,冷凍食用牛背板筋,KGM,1,
02062990634,80,5,冷凍食用牛腹膈膜,KGM,1,
02062990714,80,5,冷凍食用牛唇,KGM,1,
02062990723,80,5,冷凍食用牛耳,KGM,1,
02062990910,80,5,冷凍食用牛胰臟及子宮,KGM,1,
02062990992,80,5,其他冷凍食用牛雜碎,KGM,1,
020630,80,2,豬雜碎，生鮮或冷藏,,0,
02063010,80,3,豬肉骨，生鮮或冷藏,,0,
02063010004,80,4,豬肉骨，生鮮或冷藏,KGM,1,
02063020,80,3,豬腳（包括前、後腿蹄膀及腱子肉）及橫膈膜，生鮮或冷藏,,0,
02063020100,80,4,豬橫膈膜，生鮮或冷藏,KGM,1,
02063020208,80,4,豬腳（包括前、後腿蹄膀及腱子肉），生鮮或冷藏,KGM,1,
02063090,80,3,其他食用豬雜碎，生鮮或冷藏,,0,
02063090203,80,4,豬腎，生鮮或冷藏,KGM,1,
02063090212,80,4,豬舌，生鮮或冷藏,KGM,1,
02063090221,80,4,豬唇，生鮮或冷藏,KGM,1,
02063090230,80,4,豬耳，生鮮或冷藏,KGM,1,
02063090249,80,4,豬肝，生鮮或冷藏,KGM,1,
02063090258,80,4,豬眼，生鮮或冷藏,KGM,1,
02063090267,80,4,豬腦、脊髓及頭顱，生鮮或冷藏,KGM,1,
02063090276,80,4,豬心及肺，生鮮或冷藏,KGM,1,
02063090285,80,4,豬脾臟，生鮮或冷藏,KGM,1,
02063090294,80,4,豬鞭、睪丸及尾，生鮮或冷藏,KGM,1,
02063090301,80,4,豬胰臟及子宮，生鮮或冷藏,KGM,1,
02063090908,80,4,其他食用豬雜碎，生鮮或冷藏,KGM,1,
02064,80,2,－冷凍豬雜碎︰,,0,
