GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
02032200,80,4,"Hams, shoulders and cuts thereof, of swine, with bone in, frozen",,0,
02032200009,80,5,"Hams, shoulders and cuts thereof, of swine, with bone in, frozen",KGM,1,
020329,80,3,Other,,0,
02032911,80,4,"Belly(including spare ribs) of swine, boneless, frozen",,0,
02032911009,80,5,"Belly(including spare ribs) of swine, boneless, frozen",KGM,1,
02032919,80,4,"Other meat of swine, boneless, frozen",,0,
02032919109,80,5,"Hams, shoulders, tenderloin, loins and cuts thereof, boneless, of swine, frozen",KGM,1,
02032919902,80,5,"Other meat of swine, boneless, frozen",KGM,1,
02032991,80,4,"Belly(including spare ribs) of swine, with bone in, frozen",,0,
02032991002,80,5,"Belly(including spare ribs) of swine, with bone in, frozen",KGM,1,
02032999,80,4,"Other meat of swine, with bone in, frozen",,0,
02032999004,80,5,"Other meat of swine, with bone in, frozen",KGM,1,
0204,80,1,"Meat of sheep or goats, fresh, chilled or frozen",,0,
020410,80,2,"Carcasses and half-carcasses of lamb, fresh or chilled",,0,
02041000,80,3,"Carcasses and half-carcasses of lamb, fresh or chilled",,0,
02041000002,80,4,"Carcasses and half-carcasses of lamb, fresh or chilled",KGM,1,
02042,80,2,"Other meat of sheep, fresh or chilled:",,0,
020421,80,3,Carcasses and half-carcasses,,0,
02042100,80,4,"Carcasses and half-carcasses of sheep, fresh or chilled",,0,
02042100009,80,5,"Carcasses and half-carcasses of sheep, fresh or chilled",KGM,1,
020422,80,3,Other cuts with bone in,,0,
02042200,80,4,"Other cuts of sheep, with bone in, fresh or chilled",,0,
02042200008,80,5,"Other cuts of sheep, with bone in, fresh or chilled",KGM,1,
020423,80,3,Boneless,,0,
02042300,80,4,"Meat of sheep, boneless, fresh or chilled",,0,
02042300007,80,5,"Meat of sheep, boneless, fresh or chilled",KGM,1,
020430,80,2,"Carcasses and half-carcasses of lamb, frozen",,0,
02043000,80,3,"Carcasses and half-carcasses of lamb, frozen",,0,
02043000008,80,4,"Carcasses and half-carcasses of lamb, frozen",KGM,1,
02044,80,2,"Other meat of sheep, frozen:",,0,
020441,80,3,Carcasses and half-carcasses,,0,
02044100,80,4,"Carcasses and half-carcasses of sheep, frozen",,0,
02044100005,80,5,"Carcasses and half-carcasses of sheep, frozen",KGM,1,
020442,80,3,Other cuts with bone in,,0,
02044200,80,4,"Other cuts of sheep, with bone in, frozen",,0,
02044200004,80,5,"Other cuts of sheep, with bone in, frozen",KGM,1,
020443,80,3,Boneless,,0,
02044300,80,4,"Meat of sheep, boneless, frozen",,0,
02044300003,80,5,"Meat of sheep, boneless, frozen",KGM,1,
020450,80,2,Meat of goats,,0,
02045000,80,3,"Meat of goats, fresh, chilled or frozen",,0,
02045000101,80,4,"Meat of goats, fresh or chilled",KGM,1,
02045000209,80,4,"Meat of goats, frozen",KGM,1,
0205,80,1,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,0,
020500,80,2,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,0,
02050000,80,3,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,0,
02050000003,80,4,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",KGM,1,
0206,80,1,"Edible offals of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",,0,
020610,80,2,"Of bovine animals, fresh or chilled",,0,
02061010,80,3,"Bone with meat of bovine animals, fresh or chilled",,0,
02061010008,80,4,"Bone with meat of bovine animals, fresh or chilled",KGM,1,
02061090,80,3,"Other edible offal of bovine animals, fresh or chilled",,0,
02061090118,80,4,"Edible tongues of bovine animals, fresh or chilled",KGM,1,
02061090127,80,4,"Edible lips of bovine animals, fresh or chilled",KGM,1,
02061090136,80,4,"Edible ears of bovine animals, fresh or chilled",KGM,1,
02061090207,80,4,"Edible livers of bovine animals, fresh or chilled",KGM,1,
02061090305,80,4,"Edible eyes of bovine animals, fresh or chilled",KGM,1,
02061090403,80,4,"Edible brains, spinal cords and skull of bovine animals, fresh or chilled",KGM,1,
02061090500,80,4,"Edible hearts and lungs of bovine animals, fresh or chilled",KGM,1,
02061090608,80,4,"Edible kidneys and spleens of bovine animals, fresh or chilled",KGM,1,
02061090706,80,4,"Edible penis, testes and tails of bovine animals, fresh or chilled",KGM,1,
02061090813,80,4,"Edible skirts of bovine animals, fresh or chilled",KGM,1,
02061090822,80,4,"Edible back strap of bovine animals, fresh or chilled",KGM,1,
02061090831,80,4,"Edible tunic tissue of bovine animals, fresh or chilled",KGM,1,
02061090911,80,4,"Edible pancreas and uteri of bovine animals, fresh or chilled",KGM,1,
02061090993,80,4,"Other edible offal of bovine animals, fresh or chilled",KGM,1,
02062,80,2,"Of bovine animals, frozen:",,0,
020621,80,3,Tongues,,0,
02062100,80,4,"Tongues of bovine animals, frozen",,0,
02062100007,80,5,"Tongues of bovine animals, frozen",KGM,1,
020622,80,3,Livers,,0,
02062200,80,4,"Livers of bovine animals, frozen",,0,
02062200006,80,5,"Livers of bovine animals, frozen",KGM,1,
020629,80,3,Other,,0,
02062910,80,4,"Bone with meat of bovine animals, frozen",,0,
02062910007,80,5,"Bone with meat of bovine animals, frozen",KGM,1,
02062990,80,4,"Other edible offal of bovine animals, frozen",,0,
02062990108,80,5,"Edible eyes of bovine animals, frozen",KGM,1,
02062990206,80,5,"Edible brains, spinal cords and skull of bovine animals, frozen",KGM,1,
