countries,hts_code,condition
2050;2110;2150;2190;2230;2470,52085910,fta
2050;2110;2150;2190;2230;2470,52085920,fta
2050;2110;2150;2190;2230;2470,52085940,fta
2050;2110;2150;2190;2230;2470,52085960,fta
2050;2110;2150;2190;2230;2470,52085980,fta
2050;2110;2150;2190;2230;2470,52091100,fta
2050;2110;2150;2190;2230;2470,52091200,fta
2050;2110;2150;2190;2230;2470,52091900,fta
2050;2110;2150;2190;2230;2470,52092100,fta
2050;2110;2150;2190;2230;2470,52092200,fta
2050;2110;2150;2190;2230;2470,52092900,fta
2050;2110;2150;2190;2230;2470,52093130,fta
2050;2110;2150;2190;2230;2470,52093160,fta
2050;2110;2150;2190;2230;2470,52093200,fta
2050;2110;2150;2190;2230;2470,52093900,fta
2050;2110;2150;2190;2230;2470,52094130,fta
2050;2110;2150;2190;2230;2470,52094160,fta
2050;2110;2150;2190;2230;2470,52094200,fta
2050;2110;2150;2190;2230;2470,52094300,fta
2050;2110;2150;2190;2230;2470,52094900,fta
2050;2110;2150;2190;2230;2470,52095130,fta
2050;2110;2150;2190;2230;2470,52095160,fta
2050;2110;2150;2190;2230;2470,52095200,fta
2050;2110;2150;2190;2230;2470,52095900,fta
2050;2110;2150;2190;2230;2470,52101140,fta
2050;2110;2150;2190;2230;2470,52101160,fta
2050;2110;2150;2190;2230;2470,52101180,fta
2050;2110;2150;2190;2230;2470,52101910,fta
2050;2110;2150;2190;2230;2470,52101920,fta
2050;2110;2150;2190;2230;2470,52101940,fta
2050;2110;2150;2190;2230;2470,52101960,fta
2050;2110;2150;2190;2230;2470,52101980,fta
2050;2110;2150;2190;2230;2470,52102140,fta
2050;2110;2150;2190;2230;2470,52102160,fta
2050;2110;2150;2190;2230;2470,52102180,fta
2050;2110;2150;2190;2230;2470,52102910,fta
2050;2110;2150;2190;2230;2470,52102920,fta
2050;2110;2150;2190;2230;2470,52102940,fta
2050;2110;2150;2190;2230;2470,52102960,fta
2050;2110;2150;2190;2230;2470,52102980,fta
2050;2110;2150;2190;2230;2470,52103140,fta
2050;2110;2150;2190;2230;2470,52103160,fta
2050;2110;2150;2190;2230;2470,52103180,fta
2050;2110;2150;2190;2230;2470,52103200,fta
2050;2110;2150;2190;2230;2470,52103920,fta
2050;2110;2150;2190;2230;2470,52103940,fta
2050;2110;2150;2190;2230;2470,52103960,fta
2050;2110;2150;2190;2230;2470,52103980,fta
2050;2110;2150;2190;2230;2470,52104140,fta
2050;2110;2150;2190;2230;2470,52104160,fta
2050;2110;2150;2190;2230;2470,52104180,fta
2050;2110;2150;2190;2230;2470,52104910,fta
2050;2110;2150;2190;2230;2470,52104920,fta
2050;2110;2150;2190;2230;2470,52104940,fta
2050;2110;2150;2190;2230;2470,52104960,fta
2050;2110;2150;2190;2230;2470,52104980,fta
2050;2110;2150;2190;2230;2470,52105140,fta
2050;2110;2150;2190;2230;2470,52105160,fta
2050;2110;2150;2190;2230;2470,52105180,fta
2050;2110;2150;2190;2230;2470,52105910,fta
2050;2110;2150;2190;2230;2470,52105920,fta
