hts_prefix,ch99_code,derivative_type,effective_date
84314100,9903.81.91,steel,2025-08-18
84314200,9903.81.91,steel,2025-03-12
84314340,9903.81.91,steel,2025-08-18
84314380,9903.81.91,steel,2025-08-18
84314910,9903.81.91,steel,2025-03-12
84314990,9903.81.91,steel,2025-03-12
84321000,9903.81.91,steel,2025-03-12
84329000,9903.81.91,steel,2025-03-12
84331100,9903.81.91,steel,2025-08-18
84332000,9903.81.91,steel,2025-08-18
84335100,9903.81.91,steel,2025-08-18
84335900,9903.81.91,steel,2025-08-18
84339010,9903.81.91,steel,2025-08-18
84339050,9903.81.91,steel,2025-08-18
8443160000,9903.85.08,aluminum,2025-08-18
8443160000,9903.81.91,steel,2025-08-18
84501100,9903.85.08,aluminum,2025-08-18
84512100,9903.85.08,aluminum,2025-08-18
8454200010,9903.81.91,steel,2025-08-18
8454200060,9903.81.91,steel,2025-08-18
84553000,9903.81.91,steel,2025-08-18
8455904000,9903.81.91,steel,2025-08-18
8455908000,9903.81.91,steel,2025-08-18
84571000,9903.81.91,steel,2025-08-18
84672200,9903.85.08,aluminum,2025-08-18
84672900,9903.85.08,aluminum,2025-08-18
84678100,9903.85.08,aluminum,2025-08-18
84678950,9903.85.08,aluminum,2025-08-18
8473302000,9903.85.08,aluminum,2025-03-12
8473305100,9903.85.08,aluminum,2025-03-12
84749000,9903.81.91,steel,2025-08-18
84771030,9903.81.91,steel,2025-08-18
84771040,9903.81.91,steel,2025-08-18
84771090,9903.81.91,steel,2025-08-18
84779025,9903.81.91,steel,2025-08-18
8477908601,9903.81.91,steel,2025-08-18
84798955,9903.81.91,steel,2025-08-18
84798965,9903.81.91,steel,2025-08-18
8479899510,9903.85.08,aluminum,2026-07-01
8479899597,9903.85.08,aluminum,2026-07-01
8479899599,9903.85.08,aluminum,2025-03-12
84799045,9903.81.91,steel,2025-08-18
84799055,9903.81.91,steel,2025-08-18
84799065,9903.81.91,steel,2025-08-18
84799075,9903.81.91,steel,2025-08-18
84799085,9903.85.08,aluminum,2025-03-12
84799085,9903.81.91,steel,2025-08-18
84799095,9903.81.91,steel,2025-08-18
8479909510,9903.85.08,aluminum,2026-07-01
8479909591,9903.85.08,aluminum,2026-07-01
8479909596,9903.85.08,aluminum,2025-03-12
8480490010,9903.81.91,steel,2025-08-18
8480718045,9903.81.91,steel,2025-08-18
8480718060,9903.81.91,steel,2025-08-18
8480799010,9903.81.91,steel,2025-08-18
8481909060,9903.85.08,aluminum,2025-03-12
