prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
26040000,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
26050000,2025_rev_7,2026_rev_10,NA,NA,NA
26060000,2025_rev_7,2026_rev_10,NA,NA,NA
26080000,2025_rev_7,2026_rev_10,NA,NA,NA
26090000,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
26100000,2025_rev_7,2026_rev_10,NA,NA,NA
26110030,2025_rev_7,2026_rev_10,NA,NA,NA
26110060,2025_rev_7,2026_rev_10,NA,NA,NA
26121000,2025_rev_7,2026_rev_10,NA,NA,NA
26122000,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
26139000,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
26140030,2025_rev_7,2026_rev_10,NA,NA,NA
26140060,2025_rev_7,2026_rev_10,NA,NA,NA
26159030,2025_rev_7,2026_rev_10,NA,NA,NA
26159060,2025_rev_7,2026_rev_10,NA,NA,NA
26161000,2025_rev_7,2026_rev_10,NA,NA,NA
26171000,2025_rev_7,2026_rev_10,NA,NA,NA
26203000,2025_rev_7,2026_rev_10,NA,NA,NA
26209950,2025_rev_7,2026_rev_10,NA,NA,NA
27011100,2025_rev_7,2026_rev_10,NA,NA,NA
27011200,2025_rev_7,2026_rev_10,NA,NA,NA
27011900,2025_rev_7,2026_rev_10,NA,NA,NA
27012000,2025_rev_7,2026_rev_10,NA,NA,NA
27021000,2025_rev_7,2026_rev_10,NA,NA,NA
27022000,2025_rev_7,2026_rev_10,NA,NA,NA
27030000,2025_rev_7,2026_rev_10,NA,NA,NA
27040000,2025_rev_7,2026_rev_10,NA,NA,NA
27050000,2025_rev_7,2026_rev_10,NA,NA,NA
27060000,2025_rev_7,2026_rev_10,NA,NA,NA
27071000,2025_rev_7,2026_rev_10,NA,NA,NA
27072000,2025_rev_7,2026_rev_10,NA,NA,NA
27073000,2025_rev_7,2026_rev_10,NA,NA,NA
27074000,2025_rev_7,2026_rev_10,NA,NA,NA
27075000,2025_rev_7,2026_rev_10,NA,NA,NA
27079100,2025_rev_7,2026_rev_10,NA,NA,NA
27079910,2025_rev_7,2026_rev_10,NA,NA,NA
27079920,2025_rev_7,2026_rev_10,NA,NA,NA
27079940,2025_rev_7,2026_rev_10,NA,NA,NA
27079951,2025_rev_7,2026_rev_10,NA,NA,NA
27079955,2025_rev_7,2026_rev_10,NA,NA,NA
27079959,2025_rev_7,2026_rev_10,NA,NA,NA
27079990,2025_rev_7,2026_rev_10,NA,NA,NA
27081000,2025_rev_7,2026_rev_10,NA,NA,NA
27082000,2025_rev_7,2026_rev_10,NA,NA,NA
27090010,2025_rev_7,2026_rev_10,NA,NA,NA
27090020,2025_rev_7,2026_rev_10,NA,NA,NA
27101215,2025_rev_7,2026_rev_10,NA,NA,NA
27101218,2025_rev_7,2026_rev_10,NA,NA,NA
27101225,2025_rev_7,2026_rev_10,NA,NA,NA
27101245,2025_rev_7,2026_rev_10,NA,NA,NA
27101290,2025_rev_7,2026_rev_10,NA,NA,NA
27101906,2025_rev_7,2026_rev_10,NA,NA,NA
27101911,2025_rev_7,2026_rev_10,NA,NA,NA
27101916,2025_rev_7,2026_rev_10,NA,NA,NA
27101924,2025_rev_7,2026_rev_10,NA,NA,NA
27101925,2025_rev_7,2026_rev_10,NA,NA,NA
27101926,2025_rev_7,2026_rev_10,NA,NA,NA
27101930,2025_rev_7,2026_rev_10,NA,NA,NA
27101935,2025_rev_7,2026_rev_10,NA,NA,NA
27101940,2025_rev_7,2026_rev_10,NA,NA,NA
27101945,2025_rev_7,2026_rev_10,NA,NA,NA
27101990,2025_rev_7,2026_rev_10,NA,NA,NA
27102005,2025_rev_7,2026_rev_10,NA,NA,NA
27102010,2025_rev_7,2026_rev_10,NA,NA,NA
27102015,2025_rev_7,2026_rev_10,NA,NA,NA
27102025,2025_rev_7,2026_rev_10,NA,NA,NA
27109100,2025_rev_7,2026_rev_10,NA,NA,NA
27109905,2025_rev_7,2026_rev_10,NA,NA,NA
27109910,2025_rev_7,2026_rev_10,NA,NA,NA
27109916,2025_rev_7,2026_rev_10,NA,NA,NA
27109921,2025_rev_7,2026_rev_10,NA,NA,NA
27109931,2025_rev_7,2026_rev_10,NA,NA,NA
27109932,2025_rev_7,2026_rev_10,NA,NA,NA
27109939,2025_rev_7,2026_rev_10,NA,NA,NA
27109945,2025_rev_7,2026_rev_10,NA,NA,NA
27109990,2025_rev_7,2026_rev_10,NA,NA,NA
27111100,2025_rev_7,2026_rev_10,NA,NA,NA
27111200,2025_rev_7,2026_rev_10,NA,NA,NA
27111300,2025_rev_7,2026_rev_10,NA,NA,NA
27111400,2025_rev_7,2026_rev_10,NA,NA,NA
27111900,2025_rev_7,2026_rev_10,NA,NA,NA
27112100,2025_rev_7,2026_rev_10,NA,NA,NA
27112900,2025_rev_7,2026_rev_10,NA,NA,NA
27121000,2025_rev_7,2026_rev_10,NA,NA,NA
27122000,2025_rev_7,2026_rev_10,NA,NA,NA
27129010,2025_rev_7,2026_rev_10,NA,NA,NA
27129020,2025_rev_7,2026_rev_10,NA,NA,NA
27131100,2025_rev_7,2026_rev_10,NA,NA,NA
27131200,2025_rev_7,2026_rev_10,NA,NA,NA
27132000,2025_rev_7,2026_rev_10,NA,NA,NA
27139000,2025_rev_7,2026_rev_10,NA,NA,NA
27141000,2025_rev_7,2026_rev_10,NA,NA,NA
27149000,2025_rev_7,2026_rev_10,NA,NA,NA
27150000,2025_rev_7,2026_rev_10,NA,NA,NA
27160000,2025_rev_7,2026_rev_10,NA,NA,NA
28012000,2025_rev_7,2026_rev_10,NA,NA,NA
28042900,2025_rev_7,2026_rev_10,NA,NA,NA
28045000,2025_rev_7,2026_rev_10,NA,NA,NA
28046100,2025_rev_7,2026_rev_10,NA,NA,NA
28048000,2025_rev_7,2026_rev_10,NA,NA,NA
28049000,2025_rev_7,2026_rev_10,NA,NA,NA
28051910,2025_rev_7,2026_rev_10,NA,NA,NA
28051920,2025_rev_7,2026_rev_10,NA,NA,NA
28051990,2025_rev_7,2026_rev_10,NA,NA,NA
28053000,2025_rev_7,2026_rev_10,NA,NA,NA
28111100,2025_rev_7,2026_rev_10,NA,NA,NA
28111910,2025_rev_7,2026_rev_10,NA,NA,NA
28112910,2025_rev_7,2026_rev_10,NA,NA,NA
28112920,2025_rev_7,2026_rev_10,NA,NA,NA
28121900,2025_rev_7,2026_rev_10,NA,NA,NA
28139010,2025_rev_7,2026_rev_10,NA,NA,NA
28152000,2025_rev_7,2026_rev_10,NA,NA,NA
28161000,2025_rev_7,2026_rev_10,NA,NA,NA
28164010,2025_rev_7,2026_rev_10,NA,NA,NA
28164020,2025_rev_7,2026_rev_10,NA,NA,NA
28170000,2025_rev_7,2026_rev_10,NA,NA,NA
28181010,2025_rev_7,2026_rev_10,NA,NA,NA
28181020,2025_rev_7,2026_rev_10,NA,NA,NA
28182000,2025_rev_7,2026_rev_10,NA,NA,NA
28183000,2025_rev_7,2025_rev_21,NA,2025_rev_22,2025-09-07
28201000,2025_rev_7,2026_rev_10,NA,NA,NA
28211000,2025_rev_7,2026_rev_10,NA,NA,NA
28212000,2025_rev_7,2026_rev_10,NA,NA,NA
28220000,2025_rev_7,2026_rev_10,NA,NA,NA
28230000,2025_rev_7,2026_rev_10,NA,NA,NA
28252000,2025_rev_7,2026_rev_10,NA,NA,NA
28254000,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
28255030,2025_rev_7,2026_rev_10,NA,NA,NA
28256000,2025_rev_7,2026_rev_10,NA,NA,NA
28258000,2025_rev_7,2026_rev_10,NA,NA,NA
28259015,2025_rev_7,2026_rev_10,NA,NA,NA
28259030,2025_rev_7,2026_rev_10,NA,NA,NA
28259090,2025_rev_7,2026_rev_10,NA,NA,NA
28261200,2025_rev_7,2026_rev_10,NA,NA,NA
28263000,2025_rev_7,2026_rev_10,NA,NA,NA
