# =============================================================================
# Country-specific IEEPA EO exempt products
# =============================================================================
#
# Generated by scripts/scrape_country_eo_annexes.R
# Last updated: 2026-04-27
#
# Schema:
#   ch99_code:             country EO heading (e.g., 9903.01.77 = Brazil)
#   hts10:                 HTS code exempt from this EO (8-digit prefix; all 10-digit children covered)
#   effective_date_start:  ISO date the exemption began
#   effective_date_end:    ISO date the exemption ended (empty = still active)
#   source:                EO/proclamation/CBP CSMS reference
#   note:                  short description
#
# To regenerate: Rscript scripts/scrape_country_eo_annexes.R
# =============================================================================
ch99_code,hts10,effective_date_start,effective_date_end,source,note
9903.01.77,2713.11.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2713.12.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2713.20.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2713.90.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2714.10.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2714.90.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2715.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2716.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2804.69.10,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2804.69.50,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2815.20.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2818.20.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2825.90.20,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2827.39.25,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2903.19.05,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2903.19.10,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2903.19.30,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2903.19.60,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3105.10.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3105.20.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3105.60.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.21.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.22.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.23.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.29.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.31.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.33.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.39.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3917.40.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3926.90.45,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3926.90.94,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3926.90.96,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,3926.90.99,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4008.29.20,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4009.12.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4009.22.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4009.32.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4009.42.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4011.30.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4012.13.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4012.20.10,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4016.10.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4016.93.50,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4016.99.35,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4016.99.60,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4017.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4407.29.02,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4504.90.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4702.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4703.11.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4703.19.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4703.21.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4703.29.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4704.11.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,4704.19.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
