hts8,program,ch99_heading
52010005,motor_vehicles,9903.03.14
52010080,motor_vehicles,9903.03.14
52021000,motor_vehicles,9903.03.14
52029100,motor_vehicles,9903.03.14
52029950,motor_vehicles,9903.03.14
54075220,motor_vehicles,9903.03.14
55111000,motor_vehicles,9903.03.14
55121900,motor_vehicles,9903.03.14
56031200,motor_vehicles,9903.03.14
56031300,motor_vehicles,9903.03.14
56031490,motor_vehicles,9903.03.14
56039200,motor_vehicles,9903.03.14
56039490,motor_vehicles,9903.03.14
56075040,motor_vehicles,9903.03.14
57033920,motor_vehicles,9903.03.14
58063220,motor_vehicles,9903.03.14
59039025,motor_vehicles,9903.03.14
59039030,motor_vehicles,9903.03.14
59070060,motor_vehicles,9903.03.14
59119000,motor_vehicles,9903.03.14
60063100,motor_vehicles,9903.03.14
60063200,motor_vehicles,9903.03.14
60063300,motor_vehicles,9903.03.14
61044320,motor_vehicles,9903.03.14
61046320,motor_vehicles,9903.03.14
61091000,motor_vehicles,9903.03.14
61102020,motor_vehicles,9903.03.14
61103030,motor_vehicles,9903.03.14
61169388,motor_vehicles,9903.03.14
62014055,motor_vehicles,9903.03.14
62014060,motor_vehicles,9903.03.14
62024010,motor_vehicles,9903.03.14
62024055,motor_vehicles,9903.03.14
62024060,motor_vehicles,9903.03.14
62031190,motor_vehicles,9903.03.14
62033150,motor_vehicles,9903.03.14
62033190,motor_vehicles,9903.03.14
62034160,motor_vehicles,9903.03.14
62044340,motor_vehicles,9903.03.14
62044910,motor_vehicles,9903.03.14
62102050,motor_vehicles,9903.03.14
62104055,motor_vehicles,9903.03.14
62105055,motor_vehicles,9903.03.14
62113290,motor_vehicles,9903.03.14
62113390,motor_vehicles,9903.03.14
62114310,motor_vehicles,9903.03.14
63039220,motor_vehicles,9903.03.14
63053300,motor_vehicles,9903.03.14
63061200,motor_vehicles,9903.03.14
63061921,motor_vehicles,9903.03.14
63079098,motor_vehicles,9903.03.14
64039190,motor_vehicles,9903.03.14
65050060,motor_vehicles,9903.03.14
65061060,motor_vehicles,9903.03.14
67041900,motor_vehicles,9903.03.14
68091100,motor_vehicles,9903.03.14
68109900,motor_vehicles,9903.03.14
70109050,motor_vehicles,9903.03.14
70139990,motor_vehicles,9903.03.14
71023900,motor_vehicles,9903.03.14
71069210,motor_vehicles,9903.03.14
71131150,motor_vehicles,9903.03.14
71131929,motor_vehicles,9903.03.14
71131950,motor_vehicles,9903.03.14
71171990,motor_vehicles,9903.03.14
71181000,motor_vehicles,9903.03.14
72031000,motor_vehicles,9903.03.14
78011000,motor_vehicles,9903.03.14
81130000,motor_vehicles,9903.03.14
82013000,motor_vehicles,9903.03.14
82023100,motor_vehicles,9903.03.14
82024060,motor_vehicles,9903.03.14
82032060,motor_vehicles,9903.03.14
82033000,motor_vehicles,9903.03.14
82041100,motor_vehicles,9903.03.14
82041200,motor_vehicles,9903.03.14
82042000,motor_vehicles,9903.03.14
82052030,motor_vehicles,9903.03.14
82055980,motor_vehicles,9903.03.14
82060000,motor_vehicles,9903.03.14
82090000,motor_vehicles,9903.03.14
82121000,motor_vehicles,9903.03.14
83016000,motor_vehicles,9903.03.14
83030000,motor_vehicles,9903.03.14
83062900,motor_vehicles,9903.03.14
84101100,motor_vehicles,9903.03.14
84148005,motor_vehicles,9903.03.14
84185000,motor_vehicles,9903.03.14
84186901,motor_vehicles,9903.03.14
84194000,motor_vehicles,9903.03.14
84198995,motor_vehicles,9903.03.14
84219901,motor_vehicles,9903.03.14
84223091,motor_vehicles,9903.03.14
84224091,motor_vehicles,9903.03.14
84229091,motor_vehicles,9903.03.14
84243010,motor_vehicles,9903.03.14
84243090,motor_vehicles,9903.03.14
84264100,motor_vehicles,9903.03.14
84336000,motor_vehicles,9903.03.14
84384000,motor_vehicles,9903.03.14
84401000,motor_vehicles,9903.03.14
84425010,motor_vehicles,9903.03.14
84439130,motor_vehicles,9903.03.14
84798200,motor_vehicles,9903.03.14
85081900,motor_vehicles,9903.03.14
85171300,motor_vehicles,9903.03.14
85176100,motor_vehicles,9903.03.14
85176200,motor_vehicles,9903.03.14
85177900,motor_vehicles,9903.03.14
85219000,motor_vehicles,9903.03.14
85234940,motor_vehicles,9903.03.14
85234950,motor_vehicles,9903.03.14
85235100,motor_vehicles,9903.03.14
85235200,motor_vehicles,9903.03.14
85255030,motor_vehicles,9903.03.14
85255070,motor_vehicles,9903.03.14
85258100,motor_vehicles,9903.03.14
85258920,motor_vehicles,9903.03.14
85258930,motor_vehicles,9903.03.14
85258940,motor_vehicles,9903.03.14
85258950,motor_vehicles,9903.03.14
85261000,motor_vehicles,9903.03.14
85269100,motor_vehicles,9903.03.14
85269250,motor_vehicles,9903.03.14
85285200,motor_vehicles,9903.03.14
85285933,motor_vehicles,9903.03.14
85286200,motor_vehicles,9903.03.14
85286945,motor_vehicles,9903.03.14
85291040,motor_vehicles,9903.03.14
85291091,motor_vehicles,9903.03.14
85299013,motor_vehicles,9903.03.14
85299016,motor_vehicles,9903.03.14
