hts_code,condition
40122010,aircraft
40161000,aircraft
40169350,aircraft
40169935,aircraft
40169960,aircraft
40170000,aircraft
41133030,full
41133060,full
41139030,full
41139060,full
44034200,full
44034902,full
44039800,full
44072100,full
44072200,full
44072301,full
44072500,full
44072600,full
44072700,full
44072800,full
44072902,full
4407990295,full
44083101,full
44083902,full
44123357,ex
45049000,aircraft
47031100,full
47032100,full
47032900,full
48239010,aircraft
48239020,aircraft
48239031,aircraft
48239040,aircraft
48239050,aircraft
48239060,aircraft
48239067,aircraft
48239070,aircraft
48239080,aircraft
48239086,aircraft
63090000,full
68128090,aircraft
68129910,aircraft
68129920,aircraft
68129990,aircraft
68132000,aircraft
68138100,aircraft
68138900,aircraft
70072111,aircraft
71069110,full
71081100,full
71081210,full
71081250,full
71081310,full
71081355,full
71081370,full
71082000,full
71101100,full
71101900,full
71102100,full
71102900,full
71103100,full
71103900,full
71104100,full
71104900,full
71123001,full
71129201,full
71159005,full
71159030,full
71189000,full
72011000,full
72012000,full
72015030,full
72021110,full
72021150,full
72021910,full
72021950,full
72023000,full
72024100,full
72024910,full
72024950,full
72025000,full
72026000,full
72028000,full
72029100,full
72029340,full
72029380,full
72031000,full
72039000,full
72041000,full
72042100,full
72042900,full
72043000,full
72044100,full
72044900,full
72045000,full
73043130,aircraft
73043160,aircraft
73043900,aircraft
73044130,aircraft
73044160,aircraft
73044900,aircraft
73045110,aircraft
73045150,aircraft
73045910,aircraft
73045920,aircraft
73045960,aircraft
73045980,aircraft
73049010,aircraft
73049030,aircraft
73049050,aircraft
73049070,aircraft
73063010,aircraft
73063030,aircraft
73063050,aircraft
73064010,aircraft
73064050,aircraft
73065010,aircraft
73065030,aircraft
73065050,aircraft
73066110,aircraft
73066130,aircraft
73066150,aircraft
73066170,aircraft
73066910,aircraft
73066930,aircraft
73066950,aircraft
73066970,aircraft
73121005,aircraft
73121010,aircraft
73121020,aircraft
73121030,aircraft
73121050,aircraft
73121060,aircraft
73121070,aircraft
73121080,aircraft
73121090,aircraft
73129000,aircraft
73229000,aircraft
73241000,aircraft
73249000,aircraft
73262000,aircraft
74010000,full
74020000,full
74031100,full
74031200,full
74031300,full
74031900,full
74032100,full
74032200,full
74032901,full
74040030,full
74040060,full
74050010,full
74050060,full
74130090,aircraft
75011000,full
75021000,full
75022000,full
75030000,full
75040000,full
75089050,full
76020000,full
76081000,aircraft
76082000,aircraft
79011100,full
79011210,full
79011250,full
79012000,full
79020000,full
79039030,full
79070060,full
80011000,full
80012000,full
80020000,full
80070050,full
81011000,full
81019700,full
81032000,full
81033000,full
81039100,full
81039900,full
81041100,full
81041900,full
81042000,full
81043000,full
81049000,full
81052030,full
81052060,full
81052090,full
81053000,full
81059000,full
81061000,full
81069000,full
81082000,full
81083000,full
81089030,full
81089060,full
81101000,full
81102000,full
81109000,full
81110047,full
81110049,full
81122100,full
81122200,full
81122900,full
81124110,full
81124150,full
81124900,full
81125900,full
81129210,full
81129230,full
