GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
8486401010,80,4,패턴형성기(주로 사진 감광액이 도포된 감광판으로부터 마스크와 레티클을 제조하기 위해 사용되는 것),U,1,2007-01-01
8486401020,80,4,마스크와 레티클을 처리ㆍ수리하기 위한 포커스드 이온빔 밀링기,U,1,2013-01-01
8486401030,80,4,포토레지스트를 도포ㆍ현상ㆍ경화시키는 기계,U,1,2017-01-01
8486401040,80,4,"마스크와 레티클을 식각, 세척, 스트리핑하는 기계와 기기",U,1,2013-01-01
8486401090,80,4,기타,U,1,2007-01-01
84864020,80,3,반도체 디바이스ㆍ전자집적회로의 조립용 기계와 기기,,0,
8486402010,80,4,"반도체 조립용의 다이 부착기, 테이프자동접착기ㆍ와이어접착기",U,1,2013-01-01
8486402020,80,4,반도체 디바이스를 삽입ㆍ제거시키는 기계,U,1,2013-01-01
848640203,80,4,패키지성형이나 리드프레임의 절단용ㆍ성형용 기계,,0,
8486402031,80,5,반도체조립용 인캡슐레이션 기기,U,1,2007-01-01
8486402039,80,5,기타,U,1,2007-01-01
8486402040,80,4,납볼을 반도체 제조용 인쇄회로기판이나 세라믹기판에 탑재하는 기계,U,1,2013-01-01
8486402070,80,4,사출식ㆍ압축식의 고무ㆍ플라스틱 성형용 주형,U,1,2013-01-01
8486402080,80,4,"반도체 다이를 부착하거나 웨이퍼, 캐리어, 튜브를 세척하는 기계",U,1,2013-01-01
848640209,80,4,기타,,0,
8486402091,80,5,"굽힘용ㆍ접음용ㆍ교정용ㆍ펼침용 금속가공 공작기계(반도체 리드의 것으로서 프레스를 포함하며, 수치제어식의 여부는 상관없다)",U,1,2014-01-01
8486402093,80,5,웨이퍼의 절단 이전에 전체 웨이퍼에 연결접점(범프)을 형성하는 웨이퍼 범핑용 기기,U,1,2009-01-01
8486402095,80,5,저항가열식의 전기식 노(爐)와 오븐,U,1,2013-01-01
8486402099,80,5,기타,U,1,2007-01-01
84864030,80,3,"보울, 웨이퍼, 반도체 디바이스, 전자집적회로와 평판디스플레이의 권양(捲揚), 취급, 적하(積荷)나 양하(揚荷)용 기계와 기기",,0,
8486403010,80,4,"반도체 소자 제조용 웨이퍼, 웨이퍼카셋트, 상자나 그 밖의 물품을 이송, 핸들링 그리고 저장하기 위한 것",U,1,2013-01-01
8486403020,80,4,"평판디스플레이의 권양(捲揚), 취급, 적하(積荷)나 양하(揚荷)용의 것",U,1,2017-01-01
8486403090,80,4,기타,U,1,2007-01-01
848690,80,2,부분품과 부속품,,0,
8486901000,80,3,보울ㆍ웨이퍼 제조용 기계와 기기의 것,,1,2022-01-01
84869020,80,3,반도체 디바이스ㆍ전자집적회로 제조용 기계와 기기의 것,,0,
8486902030,80,4,정전식 척(chuck),,1,2022-01-01
8486902040,80,4,도포ㆍ현상ㆍ증착ㆍ식각용 기기의 것,,1,2022-01-01
8486902090,80,4,기타,,1,2022-01-01
