GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,IS_LEAF,START_DATE
0203291500,80,5,Poitrines (entrelardées) et morceaux de poitrines,1,01-01-1972
0203295500,10,5,autres,,01-01-1972
0203295500,80,6,désossées,0,01-01-1972
0203295520,10,7,"Longes et morceaux de longes, à l'exclusion de filets présentés seuls",,01-07-2006
0203295520,80,8,Longes,1,01-07-2006
0203295530,80,8,Morceaux,1,01-07-2006
0203295591,10,7,autres,,01-03-1992
0203295591,80,8,"Filets, présentés seuls",1,01-03-1992
0203295592,80,8,Jambons et morceaux de jambons,1,01-07-1995
0203295599,80,8,autres,1,01-03-1992
0203295900,80,6,autres,1,01-01-1972
0203299000,80,4,autres,1,01-01-1972
0204000000,80,1,"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées",0,01-01-1972
0204100000,80,2,"Carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées",0,01-01-1972
0204100010,80,3,d'agneau domestique,1,01-01-1972
0204100090,80,3,autres,1,01-01-1972
0204210000,10,2,"autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées",,01-01-1972
0204210000,80,3,en carcasses ou demi-carcasses,0,01-01-1972
0204210010,80,4,de l'espèce ovine domestique,1,01-01-1972
0204210090,80,4,autres,1,01-01-1972
0204220000,80,3,en autres morceaux non désossés,0,01-01-1972
0204221000,80,4,Casque ou demi-casque,0,01-01-1972
0204221010,80,5,de l'espèce ovine domestique,1,01-01-1972
0204221090,80,5,autres,1,01-01-1972
0204223000,80,4,Carré et/ou selle ou demi-carré et/ou demi-selle,0,01-01-1972
0204223010,80,5,de l'espèce ovine domestique,1,01-01-1972
0204223090,80,5,autres,1,01-01-1972
0204225000,80,4,Culotte ou demi-culotte,0,01-01-1972
0204225010,80,5,de l'espèce ovine domestique,1,01-01-1972
0204225090,80,5,autres,1,01-01-1972
0204229000,80,4,autres,0,01-01-1972
0204229010,80,5,de l'espèce ovine domestique,1,01-01-1972
0204229090,80,5,autres,1,01-01-1972
0204230000,80,3,désossées,0,01-01-1972
0204230011,10,4,de l'espèce ovine domestique,,01-01-2004
