GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
02044110,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02044190,80,4,autres,Fr. par 100 kg brut,1,858.00,1995-07-01
020442,80,3,en autres morceaux non désossés:,,0,,1988-01-01
02044210,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02044290,80,4,autres,Fr. par 100 kg brut,1,809.00,1995-07-01
020443,80,3,désossées:,,0,,1988-01-01
02044310,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,30.00,1995-07-01
02044390,80,4,autres,Fr. par 100 kg brut,1,760.00,1995-07-01
020450,80,2,viandes des animaux de l'espèce caprine:,,0,,1988-01-01
02045010,80,3,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,49.00,1995-07-01
02045090,80,3,autres,Fr. par 100 kg brut,1,700.00,1995-07-01
0205,80,1,"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées:",,0,,1988-01-01
02050010,80,2,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,20.00,1995-07-01
02050090,80,2,autres,Fr. par 100 kg brut,1,1459.00,1995-07-01
0206,80,1,"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés:",,0,,1988-01-01
020610,80,2,"de l'espèce bovine, frais ou réfrigérés:",,0,,1988-01-01
,10,3,langues:,,,,1995-07-01
02061011,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,153.00,1995-07-01
02061019,80,4,autres,Fr. par 100 kg brut,1,153.00,1995-07-01
,10,3,foies:,,,,1995-07-01
02061021,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,153.00,1995-07-01
02061029,80,4,autres,Fr. par 100 kg brut,1,919.00,1995-07-01
,10,3,autres:,,,,1995-07-01
