GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
020443,80,3,ausgebeint:,,0,,1988-01-01
02044310,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,30.00,1995-07-01
02044390,80,4,anderes,Fr. je 100 kg brutto,1,760.00,1995-07-01
020450,80,2,Fleisch von Tieren der Ziegengattung:,,0,,1988-01-01
02045010,80,3,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,49.00,1995-07-01
02045090,80,3,anderes,Fr. je 100 kg brutto,1,700.00,1995-07-01
0205,80,1,"Fleisch von Pferden, Eseln, Maultieren oder Mauleseln, frisch, gekühlt oder gefroren:",,0,,1988-01-01
02050010,80,2,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,20.00,1995-07-01
02050090,80,2,anderes,Fr. je 100 kg brutto,1,1459.00,1995-07-01
0206,80,1,"Geniessbare Schlachtnebenprodukte von Tieren der Rindvieh-, Schweine-, Schaf- oder Ziegengattung, von Pferden, Eseln, Maultieren oder Mauleseln, frisch, gekühlt oder gefroren:",,0,,1988-01-01
020610,80,2,"von Tieren der Rindviehgattung, frisch oder gekühlt:",,0,,1988-01-01
,10,3,Zungen:,,,,1995-07-01
02061011,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,153.00,1995-07-01
02061019,80,4,andere,Fr. je 100 kg brutto,1,153.00,1995-07-01
,10,3,Lebern:,,,,1995-07-01
02061021,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,153.00,1995-07-01
02061029,80,4,andere,Fr. je 100 kg brutto,1,919.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02061091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,153.00,1995-07-01
02061099,80,4,andere,Fr. je 100 kg brutto,1,919.00,1995-07-01
,10,2,"von Tieren der Rindviehgattung, gefroren:",,,,1988-01-01
020621,80,3,Zungen:,,0,,1988-01-01
02062110,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,110.00,1995-07-01
02062190,80,4,andere,Fr. je 100 kg brutto,1,153.00,1995-07-01
020622,80,3,Lebern:,,0,,1988-01-01
02062210,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,220.00,1995-07-01
02062290,80,4,andere,Fr. je 100 kg brutto,1,919.00,1995-07-01
020629,80,3,andere:,,0,,1988-01-01
02062910,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,140.00,1995-07-01
02062990,80,4,andere,Fr. je 100 kg brutto,1,919.00,1995-07-01
020630,80,2,"von Tieren der Schweinegattung, frisch oder gekühlt:",,0,,1988-01-01
02063010,80,3,von Wildschweinen,Fr. je 100 kg brutto,1,7.00,1995-07-01
,10,3,andere:,,,,1995-07-01
02063091,80,4,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,50.00,1995-07-01
02063099,80,4,andere,Fr. je 100 kg brutto,1,68.00,1995-07-01
,10,2,"von Tieren der Schweinegattung, gefroren:",,,,1988-01-01
020641,80,3,Lebern:,,0,,1988-01-01
02064110,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,49.00,1995-07-01
,10,4,andere:,,,,1995-07-01
02064191,80,5,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,68.00,1995-07-01
02064199,80,5,andere,Fr. je 100 kg brutto,1,68.00,1995-07-01
020649,80,3,andere:,,0,,1988-01-01
02064910,80,4,von Wildschweinen,Fr. je 100 kg brutto,1,49.00,1995-07-01
,10,4,andere:,,,,1995-07-01
02064991,80,5,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,68.00,1995-07-01
02064999,80,5,andere,Fr. je 100 kg brutto,1,68.00,1995-07-01
020680,80,2,"andere, frisch oder gekühlt:",,0,,1988-01-01
02068010,80,3,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,68.00,1995-07-01
02068090,80,3,andere,Fr. je 100 kg brutto,1,68.00,1995-07-01
020690,80,2,"andere, gefroren:",,0,,1988-01-01
02069010,80,3,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je 100 kg brutto,1,68.00,1995-07-01
