GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
020322,80,3,"prosciutti, spalle e loro pezzi, non disossati:",,0,,1988-01-01
02032210,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,7.00,1995-07-01
,10,4,altri:,,,,1995-07-01
02032291,80,5,importati nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,50.00,1995-07-01
02032299,80,5,altri,Fr. per 100 kg peso lordo,1,474.00,1995-07-01
020329,80,3,altri:,,0,,1988-01-01
02032910,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,7.00,1995-07-01
,10,4,altri:,,,,1995-07-01
02032981,80,5,importati nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,50.00,1995-07-01
,10,5,altri:,,,,1995-07-01
02032991,80,6,lombata e sue parti,Fr. per 100 kg peso lordo,1,2304.00,1995-07-01
02032999,80,6,altri,Fr. per 100 kg peso lordo,1,329.00,1995-07-01
0204,80,1,"Carni di animali delle specie ovina o caprina, fresche, refrigerate o congelate:",,0,,1988-01-01
020410,80,2,"carcasse e mezzene di agnello, fresche o refrigerate:",,0,,1988-01-01
02041010,80,3,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02041090,80,3,altre,Fr. per 100 kg peso lordo,1,838.00,1995-07-01
,10,2,"altre carni di animali della specie ovina, fresche o refrigerate:",,,,1988-01-01
020421,80,3,in carcasse o mezzene:,,0,,1988-01-01
02042110,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02042190,80,4,altre,Fr. per 100 kg peso lordo,1,845.00,1995-07-01
020422,80,3,in altri pezzi non disossati:,,0,,1988-01-01
02042210,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02042290,80,4,altri,Fr. per 100 kg peso lordo,1,753.00,1995-07-01
020423,80,3,disossati:,,0,,1988-01-01
02042310,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02042390,80,4,altri,Fr. per 100 kg peso lordo,1,760.00,1995-07-01
020430,80,2,"carcasse e mezzene di agnello, congelate:",,0,,1988-01-01
02043010,80,3,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02043090,80,3,altre,Fr. per 100 kg peso lordo,1,749.00,1995-07-01
,10,2,"altre carni di animali della specie ovina, congelate:",,,,1988-01-01
020441,80,3,in carcasse o mezzene:,,0,,1988-01-01
02044110,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02044190,80,4,altre,Fr. per 100 kg peso lordo,1,858.00,1995-07-01
020442,80,3,in altri pezzi non disossati:,,0,,1988-01-01
02044210,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02044290,80,4,altri,Fr. per 100 kg peso lordo,1,809.00,1995-07-01
020443,80,3,disossati:,,0,,1988-01-01
02044310,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,30.00,1995-07-01
02044390,80,4,altri,Fr. per 100 kg peso lordo,1,760.00,1995-07-01
020450,80,2,carni di animali della specie caprina:,,0,,1988-01-01
02045010,80,3,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,49.00,1995-07-01
02045090,80,3,altre,Fr. per 100 kg peso lordo,1,700.00,1995-07-01
0205,80,1,"Carni di animali delle specie equina, asinina o mulesca, fresche, refrigerate o congelate:",,0,,1988-01-01
02050010,80,2,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,20.00,1995-07-01
02050090,80,2,altre,Fr. per 100 kg peso lordo,1,1459.00,1995-07-01
0206,80,1,"Frattaglie commestibili di animali delle specie bovina, suina, ovina, caprina, equina, asinina o mulesca, fresche, refrigerate o congelate:",,0,,1988-01-01
020610,80,2,"della specie bovina, fresche o refrigerate:",,0,,1988-01-01
,10,3,lingue:,,,,1995-07-01
02061011,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,153.00,1995-07-01
02061019,80,4,altre,Fr. per 100 kg peso lordo,1,153.00,1995-07-01
,10,3,fegati:,,,,1995-07-01
02061021,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,153.00,1995-07-01
02061029,80,4,altri,Fr. per 100 kg peso lordo,1,919.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02061091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,153.00,1995-07-01
02061099,80,4,altri,Fr. per 100 kg peso lordo,1,919.00,1995-07-01
,10,2,"della specie bovina, congelate:",,,,1988-01-01
020621,80,3,lingue:,,0,,1988-01-01
02062110,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,110.00,1995-07-01
02062190,80,4,altre,Fr. per 100 kg peso lordo,1,153.00,1995-07-01
020622,80,3,fegati:,,0,,1988-01-01
02062210,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,220.00,1995-07-01
02062290,80,4,altri,Fr. per 100 kg peso lordo,1,919.00,1995-07-01
020629,80,3,altre:,,0,,1988-01-01
02062910,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,140.00,1995-07-01
02062990,80,4,altre,Fr. per 100 kg peso lordo,1,919.00,1995-07-01
020630,80,2,"della specie suina, fresche o refrigerate:",,0,,1988-01-01
02063010,80,3,di cinghiale,Fr. per 100 kg peso lordo,1,7.00,1995-07-01
,10,3,altre:,,,,1995-07-01
02063091,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,50.00,1995-07-01
02063099,80,4,altre,Fr. per 100 kg peso lordo,1,68.00,1995-07-01
,10,2,"della specie suina, congelate:",,,,1988-01-01
020641,80,3,fegati:,,0,,1988-01-01
02064110,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,49.00,1995-07-01
,10,4,altri:,,,,1995-07-01
02064191,80,5,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,68.00,1995-07-01
02064199,80,5,altri,Fr. per 100 kg peso lordo,1,68.00,1995-07-01
020649,80,3,altre:,,0,,1988-01-01
02064910,80,4,di cinghiale,Fr. per 100 kg peso lordo,1,49.00,1995-07-01
,10,4,altre:,,,,1995-07-01
02064991,80,5,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,68.00,1995-07-01
02064999,80,5,altre,Fr. per 100 kg peso lordo,1,68.00,1995-07-01
020680,80,2,"altre, fresche o refrigerate:",,0,,1988-01-01
02068010,80,3,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,68.00,1995-07-01
02068090,80,3,altre,Fr. per 100 kg peso lordo,1,68.00,1995-07-01
020690,80,2,"altre, congelate:",,0,,1988-01-01
02069010,80,3,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,68.00,1995-07-01
02069090,80,3,altre,Fr. per 100 kg peso lordo,1,68.00,1995-07-01
0207,80,1,"Carni e frattaglie commestibili, fresche, refrigerate o congelate, di volatili della voce 0105:",,0,,1988-01-01
,10,2,di volatili della specie Gallus domesticus:,,,,1996-01-01
020711,80,3,"non tagliati in pezzi, freschi o refrigerati:",,0,,1996-01-01
02071110,80,4,importati nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,135.00,1996-01-01
02071190,80,4,altri,Fr. per 100 kg peso lordo,1,312.00,1996-01-01
020712,80,3,"non tagliati in pezzi, congelati:",,0,,1996-01-01
02071210,80,4,importati nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,135.00,1996-01-01
02071290,80,4,altri,Fr. per 100 kg peso lordo,1,566.00,1996-01-01
020713,80,3,"pezzi e frattaglie, freschi o refrigerati:",,0,,1996-01-01
,10,4,petti:,,,,1996-01-01
02071311,80,5,importati nei limiti del contingente doganale (n. cont. 6),Fr. per 100 kg peso lordo,1,135.00,1996-01-01
02071319,80,5,altri,Fr. per 100 kg peso lordo,1,1581.00,1996-01-01
,10,4,altri pezzi e frattaglie:,,,,1996-01-01
